ActivityIdentifier,ActivityStartDate,MonitoringLocationIdentifier,HydrologicCondition,HydrologicEvent,Measure,SampleAquifer
nwisco.01.00402292,2004-05-26,USGS-09085000,"Stable, normal stage",Snowmelt,8.2,
nwisco.01.97603465,1976-08-25,USGS-392032107001900,Not determined,Routine sample,8.2,
nwisco.01.96500873,1965-03-01,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.96500896,1965-09-09,USGS-09085000,Not determined,Routine sample,8.2,
nwisco.01.01101939,2011-05-11,USGS-09085000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.00801601,2008-04-23,USGS-09085000,Rising stage,Routine sample,8.2,
nwisco.01.00903373,2009-07-08,USGS-09081000,"Stable, normal stage",Routine sample,8.2,
nwisco.01.02000095,2019-10-24,USGS-09085000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.01101938,2011-05-11,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.00702509,2007-08-07,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.01300128,2012-10-30,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.01503530,2015-08-11,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.01105781,2011-09-28,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.01301933,2013-05-16,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.01401806,2014-06-03,USGS-09085000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.01401805,2014-06-03,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.01600187,2015-10-26,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.99700668,1996-12-19,USGS-09085000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.98002374,1980-01-21,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98002387,1980-04-08,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98002417,1980-09-18,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.00502217,2005-06-28,USGS-09081000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.98102642,1981-09-21,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98102636,1981-08-12,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98102613,1981-03-06,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98102610,1981-02-13,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98102608,1981-01-29,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98102601,1980-12-11,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98102597,1980-11-14,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.98102594,1980-10-23,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.99603334,1996-08-20,USGS-09085000,"Stable, normal stage",Routine sample,8.3,
nwisco.01.96601005,1966-05-12,USGS-09085000,Not determined,Routine sample,8.3,
nwisco.01.99803763,1998-09-02,USGS-09081000,"Stable, low stage",Routine sample,8.3,
nwisco.01.00100707,2000-12-20,USGS-392110107011300,"Stable, low stage",Under ice cover,8.3,
