OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-CO,USGS Colorado Water Science Center,nwisco.01.01602559,Sample-Routine,Water,Surface Water,2016-06-27,15:45:00,MDT,,,,,,,,,,,,U.S. Geological Survey,USGS-09085000,"L-1820235 FED EX LATE DELIVEY   Received June 30, 2016",,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 plastic bottle,,pH,Total,8.2,std units,,Accepted,,Actual,,,,,,,00400,,,,,,PROBE,USGS,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.01400053,Sample-Routine,Water,Surface Water,2013-10-22,08:45:00,MDT,,,,,,,,,,,,U.S. Geological Survey,USGS-09081000,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,pH,Total,8.2,std units,,Accepted,,Actual,,,,,,,00400,,,,,,PROBE,USGS,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.01600546,Sample-Routine,Water,Surface Water,2016-01-06,10:15:00,MST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09085000,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,pH,Total,8.2,std units,,Accepted,,Actual,,,,,,,00400,,,,,,PROBE,USGS,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.99802217,Sample-Routine,Water,Surface Water,1998-05-12,16:15:00,MDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09085000,,,"Stable, normal stage",Snowmelt,10,USGS parameter code 82398,Equal width increment (ewi),US D-77 TM,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.99903649,Sample-Routine,Water,Surface Water,1999-08-18,15:30:00,MDT,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-09081000,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US DH-81,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.96300462,Sample-Routine,Water,Surface Water,1963-06-12,,,,,,,,,,,,,,,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002399,Sample-Routine,Water,Surface Water,1980-06-16,11:35:00,MDT,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002407,Sample-Routine,Water,Surface Water,1980-07-31,16:15:00,MDT,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002410,Sample-Routine,Water,Surface Water,1980-08-22,10:00:00,MDT,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002416,Sample-Routine,Water,Surface Water,1980-09-11,09:10:00,MDT,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.98002418,Sample-Routine,Water,Surface Water,1980-09-25,11:40:00,MDT,,,,,,,,,,,,Organization other than U.S. Geological Survey,USGS-09085000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.00002812,Sample-Routine,Water,Surface Water,2000-06-07,10:00:00,MDT,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-09081000,,,Falling stage,Snowmelt,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 plastic bottle,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.00002810,Sample-Routine,Water,Surface Water,2000-06-06,11:50:00,MDT,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-09085000,,,Falling stage,Snowmelt,10,USGS parameter code 82398,Equal width increment (ewi),US DH-95 plastic bottle,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
USGS-CO,USGS Colorado Water Science Center,nwisco.01.99800374,Sample-Routine,Water,Surface Water,1997-10-21,11:00:00,MDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-09085000,,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),US D-77 TM,,pH,Total,8.2,std units,,Historical,,Actual,,,,,,,00400,,,,,,,,,,,,,,,,,NWIS
